Country Name	Country Code	Year	Value
Brazil	BRA	2010	193701929
Brazil	BRA	2011	195284734
Brazil	BRA	2012	196876111
Brazil	BRA	2013	198478299
Brazil	BRA	2014	200085127
Brazil	BRA	2015	201675532
Brazil	BRA	2016	203218114
Brazil	BRA	2017	204703445
Brazil	BRA	2018	206107261
Brazil	BRA	2019	207455459
Brazil	BRA	2020	208660842
Germany	DEU	2010	81776930
Germany	DEU	2011	80274983
Germany	DEU	2012	80425823
Germany	DEU	2013	80645605
Germany	DEU	2014	80982500
Germany	DEU	2015	81686611
Germany	DEU	2016	82348669
Germany	DEU	2017	82657002
Germany	DEU	2018	82905782
Germany	DEU	2019	83092962
Germany	DEU	2020	83160871
France	FRA	2010	65026211
France	FRA	2011	65340830
France	FRA	2012	65657659
France	FRA	2013	65997932
France	FRA	2014	66312067
France	FRA	2015	66548272
France	FRA	2016	66724104
France	FRA	2017	66918020
France	FRA	2018	67158348
France	FRA	2019	67382061
France	FRA	2020	67601110
India	IND	2010	1243481564
India	IND	2011	1261224954
India	IND	2012	1278674502
India	IND	2013	1295829511
India	IND	2014	1312277191
India	IND	2015	1328024498
India	IND	2016	1343944296
India	IND	2017	1359657400
India	IND	2018	1374659064
India	IND	2019	1389030312
India	IND	2020	1402617695
Japan	JPN	2010	128070000
Japan	JPN	2011	127833000
Japan	JPN	2012	127629000
Japan	JPN	2013	127445000
Japan	JPN	2014	127276000
Japan	JPN	2015	127141000
Japan	JPN	2016	127076000
Japan	JPN	2017	126972000
Japan	JPN	2018	126811000
Japan	JPN	2019	126633000
Japan	JPN	2020	126261000
Romania	ROU	2010	20246871
Romania	ROU	2011	20147528
Romania	ROU	2012	20058035
Romania	ROU	2013	19983693
Romania	ROU	2014	19908979
Romania	ROU	2015	19815616
Romania	ROU	2016	19702267
Romania	ROU	2017	19588715
Romania	ROU	2018	19473970
Romania	ROU	2019	19371648
Romania	ROU	2020	19265250
United States	USA	2010	309378227
United States	USA	2011	311839461
United States	USA	2012	314339099
United States	USA	2013	316726282
United States	USA	2014	319257560
United States	USA	2015	321815121
United States	USA	2016	324353340
United States	USA	2017	326608609
United States	USA	2018	328529577
United States	USA	2019	330226227
United States	USA	2020	331577720
